Collection_code,N_samples,id
iNaturalist,1,OR_Portland_B28_B_7897
other,0,OR_Portland_B28_B_7897
ebird,23,OR_Portland_B29_B_7898
other,0,OR_Portland_B29_B_7898
iNaturalist,0,OR_Portland_B29_B_7898
ebird,16,OR_Portland_B3_B_7899
other,0,OR_Portland_B3_B_7899
iNaturalist,0,OR_Portland_B3_B_7899
ebird,2515,OR_Portland_B4_B_7900
other,0,OR_Portland_B4_B_7900
iNaturalist,0,OR_Portland_B4_B_7900
ebird,2693,OR_Portland_B4_B_7901
iNaturalist,13,OR_Portland_B4_B_7901
other,0,OR_Portland_B4_B_7901
ebird,1091,OR_Portland_B5_B_7902
iNaturalist,8,OR_Portland_B5_B_7902
other,12,OR_Portland_B5_B_7902
ebird,353,OR_Portland_B6_B_7903
other,242,OR_Portland_B6_B_7903
iNaturalist,0,OR_Portland_B6_B_7903
ebird,311,OR_Portland_B7_B_7904
iNaturalist,2,OR_Portland_B7_B_7904
other,32,OR_Portland_B7_B_7904
ebird,208,OR_Portland_B8_B_7905
iNaturalist,5,OR_Portland_B8_B_7905
other,3,OR_Portland_B8_B_7905
ebird,462,OR_Portland_B9_B_7906
other,0,OR_Portland_B9_B_7906
iNaturalist,0,OR_Portland_B9_B_7906
ebird,334,OR_Portland_C1_C_7907
iNaturalist,3,OR_Portland_C1_C_7907
other,770,OR_Portland_C1_C_7907
ebird,525,OR_Portland_C10_C_7908
other,49,OR_Portland_C10_C_7908
iNaturalist,0,OR_Portland_C10_C_7908
ebird,833,OR_Portland_C10_C_7909
iNaturalist,1,OR_Portland_C10_C_7909
other,0,OR_Portland_C10_C_7909
ebird,118,OR_Portland_C11_C_7910
other,16,OR_Portland_C11_C_7910
iNaturalist,0,OR_Portland_C11_C_7910
ebird,24,OR_Portland_C12_C_7911
iNaturalist,1,OR_Portland_C12_C_7911
other,0,OR_Portland_C12_C_7911
ebird,16143,OR_Portland_C13_C_7912
iNaturalist,2,OR_Portland_C13_C_7912
other,0,OR_Portland_C13_C_7912
ebird,37,OR_Portland_C14_C_7913
iNaturalist,1,OR_Portland_C14_C_7913
other,1,OR_Portland_C14_C_7913
ebird,307,OR_Portland_C15_C_7914
other,0,OR_Portland_C15_C_7914
iNaturalist,0,OR_Portland_C15_C_7914
ebird,1802,OR_Portland_C16_C_7915
iNaturalist,12,OR_Portland_C16_C_7915
other,19,OR_Portland_C16_C_7915
ebird,1133,OR_Portland_C17_C_7916
iNaturalist,10,OR_Portland_C17_C_7916
other,105,OR_Portland_C17_C_7916
ebird,1349,OR_Portland_C18_C_7917
iNaturalist,51,OR_Portland_C18_C_7917
other,36,OR_Portland_C18_C_7917
ebird,1313,OR_Portland_C19_C_7918
iNaturalist,23,OR_Portland_C19_C_7918
other,162,OR_Portland_C19_C_7918
ebird,1254,OR_Portland_C2_C_7919
iNaturalist,10,OR_Portland_C2_C_7919
other,375,OR_Portland_C2_C_7919
ebird,751,OR_Portland_C2_C_7920
iNaturalist,5,OR_Portland_C2_C_7920
other,0,OR_Portland_C2_C_7920
ebird,9873,OR_Portland_C20_C_7921
iNaturalist,8,OR_Portland_C20_C_7921
other,798,OR_Portland_C20_C_7921
ebird,250,OR_Portland_C21_C_7922
iNaturalist,1,OR_Portland_C21_C_7922
other,0,OR_Portland_C21_C_7922
ebird,1693,OR_Portland_C21_C_7923
iNaturalist,3,OR_Portland_C21_C_7923
other,28,OR_Portland_C21_C_7923
ebird,548,OR_Portland_C22_C_7924
iNaturalist,1,OR_Portland_C22_C_7924
other,0,OR_Portland_C22_C_7924
ebird,94,OR_Portland_C22_C_7925
other,0,OR_Portland_C22_C_7925
iNaturalist,0,OR_Portland_C22_C_7925
ebird,150,OR_Portland_C22_C_7926
other,0,OR_Portland_C22_C_7926
iNaturalist,0,OR_Portland_C22_C_7926
ebird,118,OR_Portland_C22_C_7927
iNaturalist,3,OR_Portland_C22_C_7927
other,2,OR_Portland_C22_C_7927
ebird,530,OR_Portland_C23_C_7928
iNaturalist,7,OR_Portland_C23_C_7928
other,0,OR_Portland_C23_C_7928
ebird,1636,OR_Portland_C24_C_7929
iNaturalist,6,OR_Portland_C24_C_7929
other,970,OR_Portland_C24_C_7929
ebird,1174,OR_Portland_C25_C_7930
iNaturalist,22,OR_Portland_C25_C_7930
other,597,OR_Portland_C25_C_7930
ebird,5110,OR_Portland_C26_C_7931
iNaturalist,1,OR_Portland_C26_C_7931
other,56,OR_Portland_C26_C_7931
ebird,6585,OR_Portland_C27_C_7932
iNaturalist,8,OR_Portland_C27_C_7932
other,142,OR_Portland_C27_C_7932
ebird,724,OR_Portland_C28_C_7933
iNaturalist,26,OR_Portland_C28_C_7933
other,26,OR_Portland_C28_C_7933
ebird,94,OR_Portland_C29_C_7934
iNaturalist,1,OR_Portland_C29_C_7934
other,12,OR_Portland_C29_C_7934
ebird,1896,OR_Portland_C29_C_7935
iNaturalist,14,OR_Portland_C29_C_7935
other,5,OR_Portland_C29_C_7935
ebird,364,OR_Portland_C3_C_7936
other,0,OR_Portland_C3_C_7936
iNaturalist,0,OR_Portland_C3_C_7936
ebird,1332,OR_Portland_C3_C_7937
iNaturalist,2,OR_Portland_C3_C_7937
other,0,OR_Portland_C3_C_7937
ebird,2540,OR_Portland_C30_C_7938
iNaturalist,2,OR_Portland_C30_C_7938
other,101,OR_Portland_C30_C_7938
ebird,29,OR_Portland_C31_C_7939
iNaturalist,3,OR_Portland_C31_C_7939
other,3,OR_Portland_C31_C_7939
ebird,2,OR_Portland_C32_C_7940
other,0,OR_Portland_C32_C_7940
iNaturalist,0,OR_Portland_C32_C_7940
ebird,531,OR_Portland_C32_C_7941
iNaturalist,5,OR_Portland_C32_C_7941
other,6,OR_Portland_C32_C_7941
ebird,6973,OR_Portland_C33_C_7942
iNaturalist,31,OR_Portland_C33_C_7942
other,95,OR_Portland_C33_C_7942
ebird,1223,OR_Portland_C34_C_7943
iNaturalist,22,OR_Portland_C34_C_7943
other,26,OR_Portland_C34_C_7943
ebird,1244,OR_Portland_C35_C_7944
iNaturalist,3,OR_Portland_C35_C_7944
other,6,OR_Portland_C35_C_7944
ebird,20,OR_Portland_C36_C_7945
iNaturalist,1,OR_Portland_C36_C_7945
other,0,OR_Portland_C36_C_7945
ebird,41,OR_Portland_C4_C_7946
iNaturalist,1,OR_Portland_C4_C_7946
other,0,OR_Portland_C4_C_7946
ebird,540,OR_Portland_C4_C_7947
iNaturalist,8,OR_Portland_C4_C_7947
other,21,OR_Portland_C4_C_7947
ebird,414,OR_Portland_C5_C_7948
iNaturalist,1,OR_Portland_C5_C_7948
other,0,OR_Portland_C5_C_7948
ebird,2559,OR_Portland_C6_C_7949
other,219,OR_Portland_C6_C_7949
iNaturalist,0,OR_Portland_C6_C_7949
ebird,1496,OR_Portland_C6_C_7950
iNaturalist,8,OR_Portland_C6_C_7950
other,156,OR_Portland_C6_C_7950
ebird,11260,OR_Portland_C7_C_7951
iNaturalist,30,OR_Portland_C7_C_7951
other,476,OR_Portland_C7_C_7951
ebird,76,OR_Portland_C8_C_7952
other,0,OR_Portland_C8_C_7952
iNaturalist,0,OR_Portland_C8_C_7952
ebird,51,OR_Portland_C8_C_7953
other,0,OR_Portland_C8_C_7953
iNaturalist,0,OR_Portland_C8_C_7953
ebird,1012,OR_Portland_C9_C_7954
iNaturalist,7,OR_Portland_C9_C_7954
other,1294,OR_Portland_C9_C_7954
ebird,805,OR_Portland_D1_D_7955
iNaturalist,12,OR_Portland_D1_D_7955
other,0,OR_Portland_D1_D_7955
ebird,317,OR_Portland_D2_D_7956
iNaturalist,18,OR_Portland_D2_D_7956
other,3,OR_Portland_D2_D_7956
ebird,1186,OR_Portland_D3_D_7957
iNaturalist,5,OR_Portland_D3_D_7957
other,88,OR_Portland_D3_D_7957
ebird,113,OR_Portland_D3_D_7958
iNaturalist,1,OR_Portland_D3_D_7958
other,0,OR_Portland_D3_D_7958
ebird,48,OR_Portland_D4_D_7959
other,0,OR_Portland_D4_D_7959
iNaturalist,0,OR_Portland_D4_D_7959
ebird,23,OR_Portland_D4_D_7960
other,0,OR_Portland_D4_D_7960
iNaturalist,0,OR_Portland_D4_D_7960
ebird,1150,OR_Portland_D4_D_7961
iNaturalist,22,OR_Portland_D4_D_7961
other,2,OR_Portland_D4_D_7961
ebird,74,OR_Portland_D4_D_7962
other,0,OR_Portland_D4_D_7962
iNaturalist,0,OR_Portland_D4_D_7962
ebird,6349,OR_Portland_D5_D_7963
iNaturalist,8,OR_Portland_D5_D_7963
other,1,OR_Portland_D5_D_7963
ebird,1469,OR_Portland_D6_D_7964
iNaturalist,12,OR_Portland_D6_D_7964
other,64,OR_Portland_D6_D_7964
ebird,55,OR_Portland_D7_D_7965
iNaturalist,4,OR_Portland_D7_D_7965
other,0,OR_Portland_D7_D_7965
ebird,1029,OR_Portland_D8_D_7966
iNaturalist,11,OR_Portland_D8_D_7966
other,42,OR_Portland_D8_D_7966
ebird,983,OR_Portland_D9_D_7967
iNaturalist,4,OR_Portland_D9_D_7967
other,1,OR_Portland_D9_D_7967
ebird,10942,OR_Portland_NA_B_7971
other,0,OR_Portland_NA_B_7971
iNaturalist,0,OR_Portland_NA_B_7971
ebird,39240,OR_Portland_NA_B_7972
iNaturalist,16,OR_Portland_NA_B_7972
other,22,OR_Portland_NA_B_7972
ebird,91,OR_Portland_NA_B_7973
other,4,OR_Portland_NA_B_7973
iNaturalist,0,OR_Portland_NA_B_7973
ebird,210,OR_Portland_NA_B_7974
iNaturalist,1,OR_Portland_NA_B_7974
other,0,OR_Portland_NA_B_7974
ebird,2120,OR_Portland_NA_B_7975
iNaturalist,47,OR_Portland_NA_B_7975
other,74,OR_Portland_NA_B_7975
ebird,21,OR_Portland_NA_B_7976
other,0,OR_Portland_NA_B_7976
iNaturalist,0,OR_Portland_NA_B_7976
ebird,78,OR_Portland_NA_B_7977
other,0,OR_Portland_NA_B_7977
iNaturalist,0,OR_Portland_NA_B_7977
ebird,2122,OR_Portland_NA_C_7968
iNaturalist,30,OR_Portland_NA_C_7968
other,685,OR_Portland_NA_C_7968
ebird,1262,OR_Portland_NA_C_7969
iNaturalist,58,OR_Portland_NA_C_7969
other,9,OR_Portland_NA_C_7969
ebird,3696,OR_Portland_NA_C_7970
iNaturalist,3,OR_Portland_NA_C_7970
other,14,OR_Portland_NA_C_7970
ebird,8,PA_Altoona_A1_A_7978
other,0,PA_Altoona_A1_A_7978
iNaturalist,0,PA_Altoona_A1_A_7978
ebird,21,PA_Altoona_A2_A_7979
other,0,PA_Altoona_A2_A_7979
iNaturalist,0,PA_Altoona_A2_A_7979
ebird,25,PA_Altoona_B10_B_7981
other,0,PA_Altoona_B10_B_7981
iNaturalist,0,PA_Altoona_B10_B_7981
other,3,PA_Altoona_B12_B_7983
iNaturalist,0,PA_Altoona_B12_B_7983
ebird,0,PA_Altoona_B12_B_7983
ebird,4,PA_Altoona_B13_B_7984
other,0,PA_Altoona_B13_B_7984
iNaturalist,0,PA_Altoona_B13_B_7984
ebird,22,PA_Altoona_B2_B_7985
other,0,PA_Altoona_B2_B_7985
iNaturalist,0,PA_Altoona_B2_B_7985
other,0,PA_Altoona_B3_B_7986
iNaturalist,0,PA_Altoona_B3_B_7986
ebird,0,PA_Altoona_B3_B_7986
ebird,30,PA_Altoona_B4_B_7987
other,19,PA_Altoona_B4_B_7987
iNaturalist,0,PA_Altoona_B4_B_7987
ebird,1,PA_Altoona_B5_B_7988
other,0,PA_Altoona_B5_B_7988
iNaturalist,0,PA_Altoona_B5_B_7988
ebird,22,PA_Altoona_B6_B_7989
other,0,PA_Altoona_B6_B_7989
iNaturalist,0,PA_Altoona_B6_B_7989
ebird,3,PA_Altoona_B7_B_7990
other,0,PA_Altoona_B7_B_7990
iNaturalist,0,PA_Altoona_B7_B_7990
other,0,PA_Altoona_B8_B_7991
iNaturalist,0,PA_Altoona_B8_B_7991
ebird,0,PA_Altoona_B8_B_7991
ebird,9,PA_Altoona_B9_B_7992
iNaturalist,1,PA_Altoona_B9_B_7992
other,0,PA_Altoona_B9_B_7992
ebird,20,PA_Altoona_C1_C_7993
other,0,PA_Altoona_C1_C_7993
iNaturalist,0,PA_Altoona_C1_C_7993
ebird,106,PA_Altoona_C2_C_7995
other,0,PA_Altoona_C2_C_7995
iNaturalist,0,PA_Altoona_C2_C_7995
other,1,PA_Altoona_C4_C_7997
iNaturalist,0,PA_Altoona_C4_C_7997
ebird,0,PA_Altoona_C4_C_7997
ebird,50,PA_Altoona_C6_C_7999
iNaturalist,2,PA_Altoona_C6_C_7999
other,0,PA_Altoona_C6_C_7999
ebird,192,PA_Altoona_C7_C_8000
other,0,PA_Altoona_C7_C_8000
iNaturalist,0,PA_Altoona_C7_C_8000
ebird,36,PA_Altoona_C8_C_8001
other,0,PA_Altoona_C8_C_8001
iNaturalist,0,PA_Altoona_C8_C_8001
ebird,18,PA_Altoona_C9_C_8002
other,0,PA_Altoona_C9_C_8002
iNaturalist,0,PA_Altoona_C9_C_8002
ebird,1,PA_Altoona_D2_D_8004
other,0,PA_Altoona_D2_D_8004
iNaturalist,0,PA_Altoona_D2_D_8004
ebird,472,PA_Altoona_D3_D_8005
iNaturalist,1,PA_Altoona_D3_D_8005
other,7,PA_Altoona_D3_D_8005
other,0,PA_Altoona_D4_D_8006
iNaturalist,0,PA_Altoona_D4_D_8006
ebird,0,PA_Altoona_D4_D_8006
other,3,PA_Altoona_D5_D_8007
iNaturalist,0,PA_Altoona_D5_D_8007
ebird,0,PA_Altoona_D5_D_8007
ebird,17,PA_Bethlehem_A1_A_8008
iNaturalist,1,PA_Bethlehem_A1_A_8008
other,0,PA_Bethlehem_A1_A_8008
ebird,76,PA_Bethlehem_A2_A_8009
other,0,PA_Bethlehem_A2_A_8009
iNaturalist,0,PA_Bethlehem_A2_A_8009
ebird,309,PA_Bethlehem_B2_B_8010
iNaturalist,10,PA_Bethlehem_B2_B_8010
other,14,PA_Bethlehem_B2_B_8010
ebird,619,PA_Bethlehem_B3_B_8011
iNaturalist,2,PA_Bethlehem_B3_B_8011
other,0,PA_Bethlehem_B3_B_8011
ebird,484,PA_Bethlehem_B4_B_8013
iNaturalist,3,PA_Bethlehem_B4_B_8013
other,0,PA_Bethlehem_B4_B_8013
ebird,38,PA_Bethlehem_B5_B_8014
other,0,PA_Bethlehem_B5_B_8014
iNaturalist,0,PA_Bethlehem_B5_B_8014
ebird,6175,PA_Bethlehem_B5_B_8015
iNaturalist,2,PA_Bethlehem_B5_B_8015
other,10,PA_Bethlehem_B5_B_8015
ebird,28,PA_Bethlehem_B6_B_8016
other,0,PA_Bethlehem_B6_B_8016
iNaturalist,0,PA_Bethlehem_B6_B_8016
ebird,543,PA_Bethlehem_B7_B_8017
other,11,PA_Bethlehem_B7_B_8017
iNaturalist,0,PA_Bethlehem_B7_B_8017
ebird,2,PA_Bethlehem_C1_C_8018
iNaturalist,2,PA_Bethlehem_C1_C_8018
other,0,PA_Bethlehem_C1_C_8018
ebird,14,PA_Bethlehem_C2_C_8019
iNaturalist,1,PA_Bethlehem_C2_C_8019
other,0,PA_Bethlehem_C2_C_8019
ebird,2,PA_Bethlehem_C3_C_8020
iNaturalist,2,PA_Bethlehem_C3_C_8020
other,0,PA_Bethlehem_C3_C_8020
iNaturalist,1,PA_Bethlehem_C4_C_8021
other,0,PA_Bethlehem_C4_C_8021
ebird,0,PA_Bethlehem_C4_C_8021
other,0,PA_Bethlehem_C5_C_8022
iNaturalist,0,PA_Bethlehem_C5_C_8022
ebird,0,PA_Bethlehem_C5_C_8022
ebird,25,PA_Bethlehem_D_D_8027
iNaturalist,4,PA_Bethlehem_D_D_8027
other,4,PA_Bethlehem_D_D_8027
iNaturalist,1,PA_Bethlehem_D_D_8028
other,0,PA_Bethlehem_D_D_8028
ebird,0,PA_Bethlehem_D_D_8028
ebird,114,PA_Bethlehem_D_D_8029
iNaturalist,1,PA_Bethlehem_D_D_8029
other,0,PA_Bethlehem_D_D_8029
ebird,1,PA_Bethlehem_D_D_8031
other,0,PA_Bethlehem_D_D_8031
iNaturalist,0,PA_Bethlehem_D_D_8031
iNaturalist,1,PA_Bethlehem_D_D_8032
other,0,PA_Bethlehem_D_D_8032
ebird,0,PA_Bethlehem_D_D_8032
ebird,5,PA_Bethlehem_D_D_8033
iNaturalist,1,PA_Bethlehem_D_D_8033
other,0,PA_Bethlehem_D_D_8033
iNaturalist,1,PA_Chester_A1_A_8034
other,0,PA_Chester_A1_A_8034
ebird,0,PA_Chester_A1_A_8034
iNaturalist,1,PA_Chester_A2_A_8035
other,0,PA_Chester_A2_A_8035
ebird,0,PA_Chester_A2_A_8035
ebird,1,PA_Chester_A3_A_8036
other,0,PA_Chester_A3_A_8036
iNaturalist,0,PA_Chester_A3_A_8036
ebird,33,PA_Chester_A3_A_8037
other,0,PA_Chester_A3_A_8037
iNaturalist,0,PA_Chester_A3_A_8037
other,0,PA_Chester_A4_A_8038
iNaturalist,0,PA_Chester_A4_A_8038
ebird,0,PA_Chester_A4_A_8038
ebird,32,PA_Chester_A5_A_8039
other,0,PA_Chester_A5_A_8039
iNaturalist,0,PA_Chester_A5_A_8039
iNaturalist,1,PA_Chester_A6_A_8040
other,0,PA_Chester_A6_A_8040
ebird,0,PA_Chester_A6_A_8040
ebird,1,PA_Chester_B2_B_8042
other,0,PA_Chester_B2_B_8042
iNaturalist,0,PA_Chester_B2_B_8042
iNaturalist,2,PA_Chester_B3_B_8043
other,1,PA_Chester_B3_B_8043
ebird,0,PA_Chester_B3_B_8043
ebird,200,PA_Chester_B4_B_8044
other,0,PA_Chester_B4_B_8044
iNaturalist,0,PA_Chester_B4_B_8044
ebird,10,PA_Chester_B5_B_8045
iNaturalist,1,PA_Chester_B5_B_8045
other,0,PA_Chester_B5_B_8045
iNaturalist,1,PA_Chester_B6_B_8046
other,0,PA_Chester_B6_B_8046
ebird,0,PA_Chester_B6_B_8046
ebird,8,PA_Chester_C1_C_8047
other,0,PA_Chester_C1_C_8047
iNaturalist,0,PA_Chester_C1_C_8047
ebird,14,PA_Chester_C2_C_8048
other,0,PA_Chester_C2_C_8048
iNaturalist,0,PA_Chester_C2_C_8048
ebird,15,PA_Chester_C3_C_8049
other,1,PA_Chester_C3_C_8049
iNaturalist,0,PA_Chester_C3_C_8049
ebird,7,PA_Chester_C4_C_8050
other,0,PA_Chester_C4_C_8050
iNaturalist,0,PA_Chester_C4_C_8050
other,0,PA_Chester_C5_C_8051
iNaturalist,0,PA_Chester_C5_C_8051
ebird,0,PA_Chester_C5_C_8051
iNaturalist,1,PA_Chester_D1_D_8053
other,0,PA_Chester_D1_D_8053
ebird,0,PA_Chester_D1_D_8053
other,0,PA_Chester_D3_D_8056
iNaturalist,0,PA_Chester_D3_D_8056
ebird,0,PA_Chester_D3_D_8056
ebird,24,PA_Erie_A1_A_8057
other,0,PA_Erie_A1_A_8057
iNaturalist,0,PA_Erie_A1_A_8057
ebird,20517,PA_Erie_A2_A_8058
other,4,PA_Erie_A2_A_8058
iNaturalist,0,PA_Erie_A2_A_8058
ebird,5,PA_Erie_A3_A_8059
other,0,PA_Erie_A3_A_8059
iNaturalist,0,PA_Erie_A3_A_8059
ebird,187,PA_Erie_A4_A_8060
other,2,PA_Erie_A4_A_8060
iNaturalist,0,PA_Erie_A4_A_8060
ebird,816,PA_Erie_B1_B_8061
iNaturalist,2,PA_Erie_B1_B_8061
other,14,PA_Erie_B1_B_8061
ebird,8,PA_Erie_B10_B_8062
other,0,PA_Erie_B10_B_8062
iNaturalist,0,PA_Erie_B10_B_8062
ebird,194,PA_Erie_B11_B_8063
other,0,PA_Erie_B11_B_8063
iNaturalist,0,PA_Erie_B11_B_8063
ebird,165,PA_Erie_B12_B_8064
other,0,PA_Erie_B12_B_8064
iNaturalist,0,PA_Erie_B12_B_8064
other,0,PA_Erie_B13_B_8065
iNaturalist,0,PA_Erie_B13_B_8065
ebird,0,PA_Erie_B13_B_8065
ebird,145,PA_Erie_B15_B_8067
other,0,PA_Erie_B15_B_8067
iNaturalist,0,PA_Erie_B15_B_8067
ebird,462,PA_Erie_B16_B_8068
other,0,PA_Erie_B16_B_8068
iNaturalist,0,PA_Erie_B16_B_8068
ebird,1995,PA_Erie_B17_B_8069
iNaturalist,11,PA_Erie_B17_B_8069
other,0,PA_Erie_B17_B_8069
ebird,780,PA_Erie_B2_B_8070
other,0,PA_Erie_B2_B_8070
iNaturalist,0,PA_Erie_B2_B_8070
ebird,159,PA_Erie_B3_B_8071
iNaturalist,11,PA_Erie_B3_B_8071
other,1,PA_Erie_B3_B_8071
ebird,44,PA_Erie_B4_B_8072
other,0,PA_Erie_B4_B_8072
iNaturalist,0,PA_Erie_B4_B_8072
ebird,2,PA_Erie_B5_B_8073
other,0,PA_Erie_B5_B_8073
iNaturalist,0,PA_Erie_B5_B_8073
ebird,7,PA_Erie_B6_B_8074
other,0,PA_Erie_B6_B_8074
iNaturalist,0,PA_Erie_B6_B_8074
ebird,48,PA_Erie_B7_B_8075
other,0,PA_Erie_B7_B_8075
iNaturalist,0,PA_Erie_B7_B_8075
ebird,6,PA_Erie_B8_B_8076
other,0,PA_Erie_B8_B_8076
iNaturalist,0,PA_Erie_B8_B_8076
ebird,111,PA_Erie_B9_B_8077
iNaturalist,1,PA_Erie_B9_B_8077
other,0,PA_Erie_B9_B_8077
other,0,PA_Erie_C1_C_8078
iNaturalist,0,PA_Erie_C1_C_8078
ebird,0,PA_Erie_C1_C_8078
ebird,6,PA_Erie_C10_C_8079
iNaturalist,1,PA_Erie_C10_C_8079
other,1,PA_Erie_C10_C_8079
ebird,25,PA_Erie_C11_C_8080
other,0,PA_Erie_C11_C_8080
iNaturalist,0,PA_Erie_C11_C_8080
ebird,7,PA_Erie_C12_C_8081
other,0,PA_Erie_C12_C_8081
iNaturalist,0,PA_Erie_C12_C_8081
ebird,7,PA_Erie_C13_C_8082
other,0,PA_Erie_C13_C_8082
iNaturalist,0,PA_Erie_C13_C_8082
ebird,20,PA_Erie_C14_C_8083
other,0,PA_Erie_C14_C_8083
iNaturalist,0,PA_Erie_C14_C_8083
ebird,61,PA_Erie_C15_C_8084
other,1,PA_Erie_C15_C_8084
iNaturalist,0,PA_Erie_C15_C_8084
ebird,82,PA_Erie_C16_C_8085
other,0,PA_Erie_C16_C_8085
iNaturalist,0,PA_Erie_C16_C_8085
ebird,36,PA_Erie_C17_C_8086
other,0,PA_Erie_C17_C_8086
iNaturalist,0,PA_Erie_C17_C_8086
ebird,2262,PA_Erie_C19_C_8088
other,0,PA_Erie_C19_C_8088
iNaturalist,0,PA_Erie_C19_C_8088
ebird,5,PA_Erie_C2_C_8089
other,0,PA_Erie_C2_C_8089
iNaturalist,0,PA_Erie_C2_C_8089
ebird,10,PA_Erie_C3_C_8090
other,0,PA_Erie_C3_C_8090
iNaturalist,0,PA_Erie_C3_C_8090
ebird,13,PA_Erie_C4_C_8091
other,0,PA_Erie_C4_C_8091
iNaturalist,0,PA_Erie_C4_C_8091
ebird,45,PA_Erie_C5_C_8092
other,0,PA_Erie_C5_C_8092
iNaturalist,0,PA_Erie_C5_C_8092
ebird,1,PA_Erie_C6_C_8093
other,0,PA_Erie_C6_C_8093
iNaturalist,0,PA_Erie_C6_C_8093
ebird,24,PA_Erie_C7_C_8094
other,0,PA_Erie_C7_C_8094
iNaturalist,0,PA_Erie_C7_C_8094
ebird,3,PA_Erie_C8_C_8095
other,0,PA_Erie_C8_C_8095
iNaturalist,0,PA_Erie_C8_C_8095
ebird,2,PA_Erie_C9_C_8096
other,0,PA_Erie_C9_C_8096
iNaturalist,0,PA_Erie_C9_C_8096
ebird,3,PA_Erie_D1_D_8097
other,0,PA_Erie_D1_D_8097
iNaturalist,0,PA_Erie_D1_D_8097
ebird,4,PA_Erie_D2_D_8098
other,0,PA_Erie_D2_D_8098
iNaturalist,0,PA_Erie_D2_D_8098
ebird,165,PA_Erie_D3_D_8099
iNaturalist,2,PA_Erie_D3_D_8099
other,0,PA_Erie_D3_D_8099
ebird,53,PA_Erie_D4_D_8100
iNaturalist,1,PA_Erie_D4_D_8100
other,0,PA_Erie_D4_D_8100
ebird,21,PA_Erie_D5_D_8101
other,2,PA_Erie_D5_D_8101
iNaturalist,0,PA_Erie_D5_D_8101
ebird,254,PA_Erie_D7_D_8103
other,0,PA_Erie_D7_D_8103
iNaturalist,0,PA_Erie_D7_D_8103
ebird,117,PA_Harrisburg_A_A_8105
other,0,PA_Harrisburg_A_A_8105
iNaturalist,0,PA_Harrisburg_A_A_8105
ebird,29,PA_Harrisburg_A_A_8106
other,3,PA_Harrisburg_A_A_8106
iNaturalist,0,PA_Harrisburg_A_A_8106
ebird,57,PA_Harrisburg_A_A_8107
other,0,PA_Harrisburg_A_A_8107
iNaturalist,0,PA_Harrisburg_A_A_8107
ebird,125,PA_Harrisburg_B_B_8108
other,0,PA_Harrisburg_B_B_8108
iNaturalist,0,PA_Harrisburg_B_B_8108
ebird,13,PA_Harrisburg_B_B_8109
other,0,PA_Harrisburg_B_B_8109
iNaturalist,0,PA_Harrisburg_B_B_8109
ebird,2,PA_Harrisburg_B_B_8110
other,0,PA_Harrisburg_B_B_8110
iNaturalist,0,PA_Harrisburg_B_B_8110
ebird,139,PA_Harrisburg_B_B_8111
other,0,PA_Harrisburg_B_B_8111
iNaturalist,0,PA_Harrisburg_B_B_8111
ebird,10,PA_Harrisburg_B_B_8112
other,0,PA_Harrisburg_B_B_8112
iNaturalist,0,PA_Harrisburg_B_B_8112
ebird,17,PA_Harrisburg_B_B_8113
other,0,PA_Harrisburg_B_B_8113
iNaturalist,0,PA_Harrisburg_B_B_8113
ebird,105,PA_Harrisburg_B_B_8114
other,0,PA_Harrisburg_B_B_8114
iNaturalist,0,PA_Harrisburg_B_B_8114
ebird,9,PA_Harrisburg_B_B_8115
other,0,PA_Harrisburg_B_B_8115
iNaturalist,0,PA_Harrisburg_B_B_8115
ebird,22,PA_Harrisburg_B_B_8116
other,0,PA_Harrisburg_B_B_8116
iNaturalist,0,PA_Harrisburg_B_B_8116
ebird,799,PA_Harrisburg_B_B_8117
iNaturalist,1,PA_Harrisburg_B_B_8117
other,0,PA_Harrisburg_B_B_8117
ebird,108,PA_Harrisburg_B_B_8118
other,4,PA_Harrisburg_B_B_8118
iNaturalist,0,PA_Harrisburg_B_B_8118
ebird,70,PA_Harrisburg_B_B_8120
iNaturalist,1,PA_Harrisburg_B_B_8120
other,0,PA_Harrisburg_B_B_8120
ebird,1,PA_Harrisburg_B_B_8121
other,0,PA_Harrisburg_B_B_8121
iNaturalist,0,PA_Harrisburg_B_B_8121
ebird,2718,PA_Harrisburg_B_B_8122
iNaturalist,2,PA_Harrisburg_B_B_8122
other,64,PA_Harrisburg_B_B_8122
ebird,3,PA_Harrisburg_C_C_8123
other,0,PA_Harrisburg_C_C_8123
iNaturalist,0,PA_Harrisburg_C_C_8123
ebird,53,PA_Harrisburg_C_C_8124
other,0,PA_Harrisburg_C_C_8124
iNaturalist,0,PA_Harrisburg_C_C_8124
ebird,26,PA_Harrisburg_C_C_8125
other,0,PA_Harrisburg_C_C_8125
iNaturalist,0,PA_Harrisburg_C_C_8125
ebird,22,PA_Harrisburg_C_C_8126
other,1,PA_Harrisburg_C_C_8126
iNaturalist,0,PA_Harrisburg_C_C_8126
iNaturalist,1,PA_Harrisburg_C_C_8127
other,0,PA_Harrisburg_C_C_8127
ebird,0,PA_Harrisburg_C_C_8127
ebird,3,PA_Harrisburg_C_C_8129
other,0,PA_Harrisburg_C_C_8129
iNaturalist,0,PA_Harrisburg_C_C_8129
ebird,4,PA_Harrisburg_C_C_8130
other,0,PA_Harrisburg_C_C_8130
iNaturalist,0,PA_Harrisburg_C_C_8130
